5.03	65.83
4.72	66.66
5.04	65.15
5.58	70.42
5.28	88.9
5.65	68.88
4.88	69.15
5	44.61
5.7	60.06
5.86	78.56
5.38	97.68
5.47	74.56
4.22	79.61
5.08	62.3
5.69	83.89
5.6	48.31
5.78	57.26
5.18	78.39
5.25	97.08
4.84	86.34
5.7	60.15
4.13	73.87
5.26	44.33
5.35	62.15
5.34	74.17
5.39	67.66
5.69	67.05
5.12	48.6
5.96	95.92
4.59	59.17
4.49	98.71
4.66	72.99
5.84	53.55
4.34	77.22
4.5	53.55
4.61	90.41
4.8	47.36
4.92	59.78
4.54	43.36
4.48	113.06
5.2	59.74
5.68	67.7
4.48	70.25
5.95	64.58
5.29	66.68
5	53.68
4.57	63.67
4.91	68.81
4.25	70.54
5.63	73.88
4.83	66.07
5.76	113.75
4.78	58.62
5.08	48.64
4.88	53.29
5.97	67.17
4.33	70.17
4.13	59.28
5.9	97.1
4.57	59.53
5.17	68.31
5	62.95
5.2	48.03
4.59	66.61
4.15	59.88
4.2	54.34
5.06	71.85
4.96	56.3
4.42	54.91
5.71	72.14
4.25	48.54
5.99	44.04
5.99	46.43
5.5	83.45
5.97	65.75
6	50.24
5.32	45.06
4.96	72.74
4.59	56.68
5.14	62.3
5	85.78
4.23	60.78
4.96	78.66
5.91	60.11
5.46	55.55
5.26	88.26
4.66	95.86
4.59	86.73
5.91	90.67
5.2	88.33
4.8	44.83
4.95	67.69
4.51	66.25
4.17	69.28
4.12	54.52
4.49	61.41
4.85	65.6
4.16	117.5
5.57	58.47
4.6	81.99
4.74	59.96
4.72	60.35
4.41	66.06
4.88	50.33
4.51	90.48
4.48	58.5
4.9	51.59
4.99	45.12
4.75	55
4.16	61.2
4.58	54.18
4.27	43.27
4.56	54.11
5.92	65.2
5.4	47.55
4.55	72.51
4.51	71.88
4.91	61.27
4.37	47.76
4.35	50.46
5.19	66.91
5.76	69.79
5.36	43.37
5.9	56.67
5.58	56.01
5.85	56.14
4.48	42.44
5.11	70.43
6.1	64.16
4.19	84.31
4.69	52.96
6.06	60.2
4.66	56.87
5.72	61.87
4.2	60.16
6.07	46.26
4.54	71.09
5.83	104.67
4.14	58.26
4.83	71.43
4.31	80.46
4.89	100.9
4.21	56.37
5.85	57.79
4.76	64.68
5.66	75.04
5.7	71.71
5.48	58.11
4.98	96.58
5.33	72.47
4.62	97.05
5.95	51.31
4.6	61.61
5.08	48.28
4.33	68.73
5.63	48.63
4.26	64.78
4.85	50.91
4.35	69.68
4.8	42.6
5.41	61.06
4.28	47.71
4.89	75.78
4.43	66.49
5.4	105.59
5.53	51.87
5.64	64.28
6.02	48.53
5.14	69.85
4.82	52.87
4.36	120.03
6.01	56.35
5.05	67
4.5	49.99
5.92	53.62
5	47.47
4.75	41.88
4.5	50.63
5.24	64.6
5.08	74.47
4.26	58.81
4.89	71.9
4.83	63.43
5.65	85.9
5.86	88.05
4.46	90.76
4.29	93.42
4.89	114.11
4.77	62.03
5.05	58.45
4.59	63.57
5.45	118.44
5.58	56.55
4.52	57.47
4.45	110.9
5.38	63.2
4.51	55.09
6.05	46.97
5.55	63.47
4.78	67.41
4.69	46.15
4.79	57.76
6.04	49.44
5.57	56.38
4.33	88.33
5.4	81.98
4.99	50.89
4.4	64.43
5.01	67.83
5.54	69.5
5.21	54.14
4.29	66.01
6.03	77.65
4.99	55.69
5.22	70.83
5.25	70.15
6.01	67.12
5.25	62.54
5.64	58.85
5.02	126.76
5.63	93.22
5.39	61.12
4.89	53.51
4.53	68.27
4.74	117.79
5.03	60.45
5.46	45.3
5.1	80.56
5.83	71.23
4.24	61.32
5.56	68.78
5.95	65.48
4.91	75.35
5.15	69.72
5.48	72.41
5.12	108.84
5.84	67.31
5.05	71.84
5.51	84.41
4.28	82.15
5.31	80.8
5.95	68.74
4.62	47.3
4.61	68.02
4.32	50.42
4.14	51.67
4.83	52.61
4.14	68.65
5.42	72.57
4.91	57.47
4.58	49.87
5.91	63.45
5.66	74.08
5.87	50.11
5.73	53.78
5.05	124.57
4.32	70.42
6.02	54.31
5.83	64.71
4.39	57.74
5.53	92.07
4.11	55.71
4.11	91.4
4.69	50.76
4.8	75.88
5.35	65.12
4.8	86.45
4.83	58.82
5.56	53.78
6	70.91
4.37	68.03
4.46	64.91
4.73	68.12
4.95	80.05
4.26	48.32
6.09	41.77
5.42	91.08
5.88	103.73
5.52	57.78
5.28	97.68
5.75	66.83
4.92	57.32
5.12	80.46
6	79.43
6.02	69.83
5.56	77.63
4.42	69.77
5.6	62.43
5.07	52.01
5.74	69.25
5.28	80.08
4.59	79.84
6.07	49.57
4.75	57.44
4.47	51.81
5.72	104.85
4.68	47.25
4.93	63.34
5.9	56.26
5.44	50.79
5.79	60.12
5.84	74.92
5.3	81.16
4.29	67.48
5.69	82.09
5.85	73.58
4.78	80.54
5.35	69.09
5.97	46.83
4.83	71.39
5.94	75.35
5.15	52.2
5.98	48.36
4.83	90.78
5.09	52.39
4.31	75.75
4.16	55.8
4.58	58.35
5.09	86.44
4.32	41.91
5.05	49.97
4.52	92.06
5.35	57.96
5.6	52.29
4.24	89.37
4.29	79.53
4.7	80.89
5.33	87.56
4.2	88.41
5.46	59
4.53	66.92
4.23	69.95
5.15	87.03
5.22	53.18
4.81	77.06
4.71	75.23
5.9	113.95
5.99	69.8
4.6	68.56
5.6	75.2
4.91	65.38
4.65	50.41
5.58	56.13
5.84	64.96
4.4	63.7
4.28	42.2
4.14	52.7
4.42	50.51
5.84	68.78
4.13	41.35
4.65	51.89
4.93	76.96
5.62	68.44
4.74	42.5
5.36	53.42
5.89	62.14
5.14	80.82
5.95	67.78
5.69	43.16
5.37	61.64
4.31	48.67
4.61	45.81
4.23	67.58
5.06	51.52
4.56	49.32
5.87	58.71
4.23	92.78
4.2	126.52
4.39	67.65
4.78	100.26
5.97	54.89
4.56	48.18
5.49	86.31
6.08	65.52
4.72	71.12
4.96	58.58
4.62	62.28
4.93	44.02
5.72	81.86
4.47	46.33
5.16	42.27
4.45	63.4
4.85	89.66
4.7	52.71
5.48	66.87
4.86	68.5
4.49	96.85
4.49	64.35
4.18	119.14
5.99	97.33
5.14	90.03
5.26	80.1
5.26	65.49
6.09	61.05
4.37	44.22
4.37	44.21
5.26	61.55
4.57	69.97
5.72	51.26
4.83	56.44
5.49	52.71
5.72	66.82
4.97	58.86
4.57	66.28
5.29	87.69
4.93	60.97
4.47	63.97
5.73	57.19
5.57	41.57
4.54	54.18
5.09	90.69
5.15	69.89
4.51	58.03
4.87	65.78
4.25	45.27
4.46	43.5
4.61	52.39
5.38	64.82
5.7	59.24
4.99	50.27
5.08	69.61
5.74	85.55
5.54	60.82
5.96	47.82
4.63	76.83
5.66	96.02
4.12	58.69
5.12	58.19
4.81	71.08
5.17	49.03
4.25	93.29
4.19	53.15
4.86	72.95
4.34	86.92
5.46	49.51
4.48	65.81
4.18	62.63
6.06	51.7
4.74	58.51
4.89	70.4
5.46	54.6
4.92	50.03
5.33	48.48
5.74	61.97
4.59	47.72
5.76	61.18
4.21	52.58
4.6	66.99
4.34	72.2
4.87	89.61
5.77	82.73
5.54	94.16
5.88	96.69
5.6	59.17
4.24	46.62
6.03	75.97
5.31	77.25
