"country","iso2","iso3","iso_numeric","g_whoregion","year","exp_cpp_dstb","exp_cpp_mdr","exp_cpp_xdr","exp_lab","rcvd_lab","exp_staff","rcvd_staff","exp_fld","rcvd_fld","exp_prog","rcvd_prog","exp_sld","rcvd_sld","exp_mdrmgt","rcvd_mdrmgt","exp_tbhiv","rcvd_tbhiv","exp_patsup","rcvd_patsup","exp_orsrvy","rcvd_orsrvy","exp_oth","rcvd_oth","exp_tot","rcvd_tot","rcvd_tot_domestic","rcvd_tot_gf","rcvd_tot_usaid","rcvd_tot_grnt","rcvd_tot_sources","hcfvisit_dstb","hcfvisit_mdr","hospd_dstb_prct","hospd_mdr_prct","hospd_dstb_dur","hospd_mdr_dur","hosp_type_mdr"
"Andorra","AD","AND","020","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,100,100,15,15,141
"Bangladesh","BD","BGD","050","SEA",2017,25,1249,9224,4100296,4218465,12949013,14096313,3021762,9832809,3618967,3643380,699093,701716,110128,110128,38969,94813,2214809,2703373,52149,112213,6046846,7068187,32852032,42581397,6886000,32311925,3383472,0,42581397,4,80,5,100,21,90,142
"Benin","BJ","BEN","204","AFR",2017,22,526,0,1132692,1236714,671032,878975,78646,78646,1575991,1710205,8405,8405,335516,439004,1888,3391,222803,230853,14896,22782,0,0,4041869,4608975,224021,4373065,0,11889,4608975,63,129,35,100,60,120,140
"Brazil","BR","BRA","076","AMR",2017,49,2834,0,5880252,5880252,10434308,10434308,4695383,4695383,19320444,19320444,2826465,2826465,1889169,1889169,1080874,1080874,,,593726,593726,,,46720621,46720621,46720621,0,0,,46720621,72,288,17,30,20,90,142
"Cambodia","KH","KHM","116","WPR",2017,40,1741,,2598687,2598687,3451621,3451621,1400000,1400000,8228557,8228557,130612,130612,71536,71536,8258,8258,693565,693565,0,0,5775,5775,16588611,16588611,3480769,7257842,3750000,2100000,16588611,66,15,15,80,20,17,141
"Cameroon","CM","CMR","120","AFR",2017,70,1132,1301,293349,339858,844275,959152,1761290,1768545,135155,205692,605889,776292,126809,140300,6488,6488,324148,345291,45261,54722,869398,1031080,5012062,5627420,2177070,3450350,0,0,5627420,5,6,100,100,45,120,140
"Central African Republic","CF","CAF","140","AFR",2017,25,2000,2500,209160,209160,302582,302582,245475,245475,200000,200000,172000,172000,62107,62107,11562,11562,250000,250000,,,,,1452886,1452886,247481,1205405,,,1452886,63,122,5,10,14,60,142
"China","CN","CHN","156","WPR",2017,51,2235,,8534017,8534017,129031725,129031725,39702072,39702072,214056967,214056967,9296020,9296020,14448476,14448476,,,,,3865211,11527023,,,418934488,426596300,415620436,,,10975864,426596300,15,52,30,100,21,60,141
"Congo","CG","COG","178","AFR",2017,10,3076,0,90738,90738,0,0,98579,98579,1091802,1091802,86123,86123,0,0,0,0,0,0,0,0,0,0,1367242,1367242,1091802,275440,0,0,1367242,3,42,20,10,3,15,142
"Czechia","CZ","CZE","203","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,95,100,75,240,142
"Democratic People's Republic of Korea","KP","PRK","408","SEA",2017,29,1080,0,414890,664390,2534070,2534070,4631560,4636560,1353360,1364800,1195560,1195560,106600,106600,0,0,319050,319050,230710,230710,2311910,2374780,13097710,13426520,5600920,6630040,0,1195560,13426520,120,,20,100,60,240,141
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,33,2330,7500,2957757,2957757,2147644,2147644,5092778,5092778,7814116,7814116,2065204,2065204,1499086,1499086,24500,24500,731117,731117,78554,78554,1310586,1310586,23721342,23721342,187660,14342309,3416278,5775095,23721342,77,150,1,10,30,120,141
"Denmark","DK","DNK","208","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethiopia","ET","ETH","231","AFR",2017,30,4465,,13734978,13747691,7750169,7750170,3339508,3339508,9104092,9135070,0,207648,4371148,4371148,5344779,5344779,1297667,1297667,815026,815026,2485531,2487073,48242898,48495780,9626945,20829930,16472740,1566165,48495780,76,270,5,50,10,30,140
"France","FR","FRA","250","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,80,99,14,200,142
"Germany","DE","DEU","276","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
"Guatemala","GT","GTM","320","AMR",2017,51,1060,11075,303927,366003,1080860,1080860,388565,436604,342528,562195,95690,95690,44637,87004,0,37892,0,135411,0,0,0,0,2256207,2801659,1693487,1108172,,,2801659,110,360,5,83,30,120,142
"India","IN","IND","356","SEA",2017,35,1500,11000,75474873,75474873,73507305,73507305,64255214,64255214,40817709,40817709,84798101,84798101,50788675,50788675,11393429,11393429,11787968,11787968,6067504,6067504,29467517,29467517,448358295,448358295,277874227,167198354,2285714,1000000,448358295,46,480,1,80,3,7,141
"Indonesia","ID","IDN","360","SEA",2017,35,1296,0,14685562,18359644,20969958,22469678,14894065,14894065,18997479,25743514,1119604,1542280,6745392,6745392,1110825,2263667,3735015,6337251,1282127,1484485,1544976,1731265,85085003,101571241,43257778,49296849,9016614,0,101571241,16,644,0,25,0,5,141
