"country","iso2","iso3","iso_numeric","g_whoregion","year","tx_dstb","budget_cpp_dstb","tx_mdr","budget_cpp_mdr","tx_xdr","budget_cpp_xdr","budget_lab","cf_lab","budget_staff","cf_staff","budget_fld","cf_fld","budget_prog","cf_prog","budget_sld","cf_sld","budget_mdrmgt","cf_mdrmgt","budget_tbhiv","cf_tbhiv","budget_patsup","cf_patsup","budget_orsrvy","cf_orsrvy","budget_oth","cf_oth","budget_tot","cf_tot","cf_tot_domestic","cf_tot_gf","cf_tot_usaid","cf_tot_grnt","cf_tot_sources"
"Andorra","AD","AND","020","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,17000,,,,,,
"Bangladesh","BD","BGD","050","SEA",2018,237000,43,1306,2118,8,9224,22368855,8004443,17313659,15660486,9498160,9498160,3489353,2728045,2666080,2988846,23181,15412,15536,210817,2321552,1028548,49336,9471,8695031,6005416,66440743,46149644,9498160,36651484,0,0,46149644
"Benin","BJ","BEN","204","AFR",2018,4278,62,24,734,2,6114,606750,579090,834567,552602,278657,261822,685419,676715,45678,39647,621500,350893,506789,404065,355908,345133,223196,18125,308293,36501,4466757,3264593,350893,2913700,0,0,3264593
"Brazil","BR","BRA","076","AMR",2018,86000,45,1100,2913,30,15404,5500000,5339198,12000000,9631756,4054118,4054118,21000000,17855630,3116569,3116569,3000000,1729605,2000000,989014,,,6000000,5271458,,,56670687,47987348,47987348,0,0,0,47987348
"Cambodia","KH","KHM","116","WPR",2018,35000,30,140,2500,,,3658217,1594549,8408491,3068829,1335340,1335340,13523122,6725881,515619,248706,1856554,76522,943787,58566,1784452,174546,108426,0,4820101,5775,36954109,13288714,4559546,4979168,1700000,2050000,13288714
"Cameroon","CM","CMR","120","AFR",2018,29280,77,236,354,5,494,1323630,346870,989728,703524,2951455,768685,926114,192171,431738,66791,107934,16698,118203,0,2017699,308187,65000,0,1354020,1804333,10285521,4207259,1452071,2755188,0,,4207259
"Central African Republic","CF","CAF","140","AFR",2018,10959,25,95,2000,2,2500,219973,209160,427639,302582,300740,188090,300000,200000,200000,36848,100000,62107,80000,11565,250000,250000,25000,25000,,,1903352,1285352,272484,1012868,,,1285352
"China","CN","CHN","156","WPR",2018,773148,48,8000,12041,,,11047619,11047619,137934914,137934914,36816571,36816571,285220215,246543967,96330159,67431111,20209524,20209524,,,,,21038835,21038835,,,608597837,541022541,527810103,,,13212438,541022541
"Congo","CG","COG","178","AFR",2018,11628,19,70,1647,0,0,101806,101806,0,0,217394,217394,1091802,1091802,115312,115312,0,0,0,0,0,0,0,0,0,0,1526314,1526314,1091802,434512,0,0,1526314
"Czechia","CZ","CZE","203","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Democratic People's Republic of Korea","KP","PRK","408","SEA",2018,116618,34,1600,1066,,,3689221,108700,2517300,2517300,9872144,120200,6390819,1236037,4547500,639600,1011100,286100,0,0,37401138,183100,1019569,171700,17390262,1367600,83839053,6630337,5721900,268837,0,639600,6630337
"Democratic Republic of the Congo","CD","COD","180","AFR",2018,180986,71,1727,3100,172,16450,7098269,3973483,5310169,4886695,14106754,7151954,18836191,8866354,8183100,2673142,5128822,1495887,5096855,1363357,1613520,158976,953377,692236,8000350,6281075,74327407,37543159,1500045,25666879,4601139,5775096,37543159
"Denmark","DK","DNK","208","EUR",2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethiopia","ET","ETH","231","AFR",2018,117705,45,2900,2300,,,19753571,9494709,8366818,7190246,5722274,1669754,15728402,11798714,7227996,2138821,4310069,1866098,7421147,4304264,1052774,634725,7342289,372818,15711896,1060075,92637236,40530224,10190096,16793726,10706629,2839773,40530224
