"country","iso2","iso3","iso_numeric","g_whoregion","year","tbhiv_surv_prev","tbhiv_surv_yr","tbhiv_surv_cil","tbhiv_surv_ciu","tbhiv_sentin_prev","tbhiv_sentin_yr","tbhiv_sentin_cil","tbhiv_sentin_ciu"
"Belarus","BY","BLR","112","EUR",2008,3,2008,2.95,3.05,,,,
"Benin","BJ","BEN","204","AFR",2008,,,,,17,2008,,
"Benin","BJ","BEN","204","AFR",2009,,,,,16,2009,15,17
"Benin","BJ","BEN","204","AFR",2010,,,,,16,2010,15,16
"Cameroon","CM","CMR","120","AFR",2009,35,2008,,,,,,
"Cameroon","CM","CMR","120","AFR",2010,35,2008,,,,,,
"China","CN","CHN","156","WPR",2007,,2007,,,,,,
"China","CN","CHN","156","WPR",2012,,,,,0.75,2012,0.73,0.77
"Curaçao","CW","CUW","531","AMR",2010,33.3,2009,,,,,,
"Democratic Republic of the Congo","CD","COD","180","AFR",2007,8.6,2007,,,,,,
"Democratic Republic of the Congo","CD","COD","180","AFR",2008,,,,,8,2008,,
"Denmark","DK","DNK","208","EUR",2008,0.1,2009,,,,,,
"Denmark","DK","DNK","208","EUR",2009,4,2009,2,8,,,,
"Denmark","DK","DNK","208","EUR",2010,3,2009,,,,,,
"Denmark","DK","DNK","208","EUR",2012,3,2011,,,,2013,,
"Ethiopia","ET","ETH","231","AFR",2011,,,,,17.3,2011,16.5,18.1
"Ethiopia","ET","ETH","231","AFR",2013,,,,,17.9,2012,,
"Ethiopia","ET","ETH","231","AFR",2014,,,,,17.2,2013,,
"Ethiopia","ET","ETH","231","AFR",2015,,,,,17.6,2015,,
"France","FR","FRA","250","EUR",2009,,2008,,,,,,
"France","FR","FRA","250","EUR",2010,,,,,8.2,2010,6.9,9.7
"France","FR","FRA","250","EUR",2011,,,,,7.3,2011,6.1,8.6
"France","FR","FRA","250","EUR",2012,,,,,7.3,2011,6.1,8.6
"France","FR","FRA","250","EUR",2013,7.3,2012,6.1,8.7,,,,
"France","FR","FRA","250","EUR",2014,,,,,5.8,2013,4.8,7.1
"France","FR","FRA","250","EUR",2015,,,,,6.04,2014,4.9,7.2
"France","FR","FRA","250","EUR",2016,,,,,6.74,2015,5.53,8.11
"France","FR","FRA","250","EUR",2017,,,,,5.67,,4.61,6.89
"Guam","GU","GUM","316","WPR",2007,0,2007,,,0,,,
"Guam","GU","GUM","316","WPR",2010,,2010,,,,2010,,
"Guatemala","GT","GTM","320","AMR",2008,,,,,19,2007,15.3,23.4
"India","IN","IND","356","SEA",2007,7,2007,,,,,,
