"country","iso2","iso3","iso_numeric","g_whoregion","year","pulm_labconf_new","pulm_labconf_ret","pulm_labconf_unk","r_rlt_new","r_rlt_ret","rr_new","rr_ret","dst_rlt_new","dst_rlt_ret","dst_rlt_hr_new","dst_rlt_hr_ret","dst_rlt_rr_new","dst_rlt_rr_ret","mdr_new","mdr_ret","rr_dst_rlt","rr_ds_fq2li","rr_dr_fq","rr_dr_2li","rr_dr_fq_2li","mdr_dst_rlt","xdr"
"Andorra","AD","AND","020","EUR",2017,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benin","BJ","BEN","204","AFR",2017,2783,259,0,11,259,4,14,1,11,0,6,0,9,0,4,18,18,0,0,0,4,0
"Botswana","BW","BWA","072","AFR",2017,1129,122,858,,,,,,,,,,,,,,,,,,,
"Brazil","BR","BRA","076","AMR",2017,45341,9359,142,15367,3641,480,267,,,,,,,,,,,,,,112,16
"Cameroon","CM","CMR","120","AFR",2017,13448,378,0,3806,378,107,78,49,43,36,24,46,34,36,24,74,74,0,1,1,60,0
"Central African Republic","CF","CAF","140","AFR",2017,4882,419,0,17,251,0,93,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
"Chad","TD","TCD","148","AFR",2017,4732,626,0,408,360,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China","CN","CHN","156","WPR",2017,212914,27873,,89171,19099,7718,5351,89171,19099,9558,5335,7718,5351,5339,4248,,,,,,,
"Congo","CG","COG","178","AFR",2017,3806,258,0,74,258,3,55,0,,0,,0,,0,,0,0,0,0,0,0,0
"Czechia","CZ","CZE","203","EUR",2017,345,24,0,296,16,3,3,296,16,8,3,3,3,3,3,6,3,2,3,2,6,2
"Democratic Republic of the Congo","CD","COD","180","AFR",2017,93555,5871,0,4682,5854,326,559,41,293,9,277,41,293,9,277,318,301,18,0,1,286,1
"Denmark","DK","DNK","208","EUR",2017,159,16,0,155,16,1,0,155,16,3,0,1,0,1,0,1,1,0,0,0,1,0
"Ethiopia","ET","ETH","231","AFR",2017,43113,3035,,,,,,,,,,,,,,205,,9,1,1,,
"Germany","DE","DEU","276","EUR",2017,77,156,3115,67,103,6,20,67,99,13,25,6,20,6,17,19,11,5,3,0,17,0
