"country","iso2","iso3","iso_numeric","g_whoregion","year","exp_cpp_dstb","exp_cpp_mdr","exp_cpp_xdr","exp_lab","rcvd_lab","exp_staff","rcvd_staff","exp_fld","rcvd_fld","exp_prog","rcvd_prog","exp_sld","rcvd_sld","exp_mdrmgt","rcvd_mdrmgt","exp_tbhiv","rcvd_tbhiv","exp_patsup","rcvd_patsup","exp_orsrvy","rcvd_orsrvy","exp_oth","rcvd_oth","exp_tot","rcvd_tot","rcvd_tot_domestic","rcvd_tot_gf","rcvd_tot_usaid","rcvd_tot_grnt","rcvd_tot_sources","hcfvisit_dstb","hcfvisit_mdr","hospd_dstb_prct","hospd_mdr_prct","hospd_dstb_dur","hospd_mdr_dur","hosp_type_mdr"
"Andorra","AD","AND","020","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,8000,,,,,,,,,100,100,15,15,141
"Azerbaijan","AZ","AZE","031","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangladesh","BD","BGD","050","SEA",2017,25,1249,9224,4100296,4218465,12949013,14096313,3021762,9832809,3618967,3643380,699093,701716,110128,110128,38969,94813,2214809,2703373,52149,112213,6046846,7068187,32852032,42581397,6886000,32311925,3383472,0,42581397,4,80,5,100,21,90,142
"Belarus","BY","BLR","112","EUR",2017,50,4500,7600,1121969,1121969,,,100000,100000,,,7857547,7857547,,,12405,12405,351334,351334,,,38119,38119,9481374,9481374,6534754,2426504,,520116,9481374,180,480,80,84,50,120,2
"Benin","BJ","BEN","204","AFR",2017,22,526,0,1132692,1236714,671032,878975,78646,78646,1575991,1710205,8405,8405,335516,439004,1888,3391,222803,230853,14896,22782,0,0,4041869,4608975,224021,4373065,0,11889,4608975,63,129,35,100,60,120,140
"Cameroon","CM","CMR","120","AFR",2017,70,1132,1301,293349,339858,844275,959152,1761290,1768545,135155,205692,605889,776292,126809,140300,6488,6488,324148,345291,45261,54722,869398,1031080,5012062,5627420,2177070,3450350,0,0,5627420,5,6,100,100,45,120,140
"China","CN","CHN","156","WPR",2017,51,2235,,8534017,8534017,129031725,129031725,39702072,39702072,214056967,214056967,9296020,9296020,14448476,14448476,,,,,3865211,11527023,,,418934488,426596300,415620436,,,10975864,426596300,15,52,30,100,21,60,141
"Curaçao","CW","CUW","531","AMR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,64,67,100,14,14,142
"Czechia","CZ","CZE","203","EUR",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,24,95,100,75,240,142
"Democratic People's Republic of Korea","KP","PRK","408","SEA",2017,29,1080,0,414890,664390,2534070,2534070,4631560,4636560,1353360,1364800,1195560,1195560,106600,106600,0,0,319050,319050,230710,230710,2311910,2374780,13097710,13426520,5600920,6630040,0,1195560,13426520,120,,20,100,60,240,141
